auc: 0.9322949117341641, ap:0.7032148720514327, score: 0.8177548918927984
auc: 0.6715472481827622, ap:0.21709247068553061, score: 0.4443198594341464
auc: 0.8535904011723758, ap:0.383091702426392, score: 0.6183410517993839
auc: 0.7995969957867741, ap:0.33175162468265257, score: 0.5656743102347134
auc: 0.7254991756732003, ap:0.20735523541394643, score: 0.46642720554357336
auc: 0.6666666666666667, ap:0.5, score: 0.5833333333333334
auc: 0.6666666666666667, ap:0.5, score: 0.5833333333333334
auc: 0.6666666666666667, ap:0.5, score: 0.5833333333333334
auc: 0.8474537461073456, ap:0.38353869511871747, score: 0.6154962206130316
auc: 0.7964828723209378, ap:0.3316109180292148, score: 0.5640468951750763
auc: 0.7964828723209378, ap:0.3316109180292148, score: 0.5640468951750763
auc: 0.8474537461073456, ap:0.38353869511871747, score: 0.6154962206130316
